Part, Link, Quantity, Price
Cherry MX switches, https://www.amazon.com.au/Cherry-Silent-RED-Switches-Pack/dp/B0BRKQ1GZC/ref=sr_1_6?sr=8-6, 9, $30.65
EC11 Encoder, https://www.aliexpress.com/item/1005005983134515.html?spm=a2g0o.productlist.main.1.3af3QiZlQiZlAF&algo_pvid=e9f7f4f4-a1fd-4b41-9671-b0112405b558&pdp_ext_f=%7B%22order%22%3A%222356%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 1, $3.84
PCB, https://jlcpcb.com, 1, $4.00
1N4148 Diodes, https://www.jaycar.com.au/1n4148-1n914-signal-diode-pack-of-5/p/ZR1100, 9, $2.50
SSD1306 OLED Display, https://www.aliexpress.com/item/1005006141235306.html?spm=a2g0o.productlist.main.2.7ced6e5ayL6xZ0&algo_pvid=a4eb0a26-c6d7-41b9-8ef9-260a516a2358&pdp_ext_f=%7B%22order%22%3A%222739%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 1, $4.71
Flux Pen,https://www.aliexpress.com/item/1005006568158452.html?spm=a2g0o.productlist.main.1.28193a31xJETrY&algo_pvid=e151a8d7-94b5-42b8-86a4-6a3f11949e33&pdp_ext_f=%7B%22order%22%3A%221436%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 1,$4.99
60-40 soldering wire,https://www.aliexpress.com/item/1005004746240668.html?spm=a2g0o.productlist.main.7.75c15197IKr19o&algo_pvid=8b752b00-197f-45a1-9928-2dd22d87f65d&pdp_ext_f=%7B%22order%22%3A%2275%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 1,$4.06
Silicon Soldering Pad (S-140),https://www.aliexpress.com/item/1005006103146013.html?spm=a2g0o.productlist.main.3.2db6rGdkrGdktp&algo_pvid=fd8bfa7e-257b-478a-973f-43ca5b7def9c&pdp_ext_f=%7B%22order%22%3A%22790%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 1,$16.91
Soldering Iron Tip Cleaner,https://www.aliexpress.com/item/1005008139056408.html?spm=a2g0o.productlist.main.2.46ca58f1MlfW7k&algo_pvid=c1426d80-9d15-4eb1-89c0-d6b2840ead35&pdp_ext_f=%7B%22order%22%3A%222972%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 1,$4.69
Total (AUD),,,$73.65
Total (USD),,,$47.58
